PG.ProteinAccessions,PG.Genes,PG.ProteinNames,[1] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-1.htrms.PG.Quantity,[2] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-2.htrms.PG.Quantity,[3] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-3.htrms.PG.Quantity,[4] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-4.htrms.PG.Quantity,[5] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-5.htrms.PG.Quantity,[6] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-6.htrms.PG.Quantity,[7] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-7.htrms.PG.Quantity,[8] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-8.htrms.PG.Quantity,[9] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-9.htrms.PG.Quantity,[10] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-10.htrms.PG.Quantity,[11] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-11.htrms.PG.Quantity,[12] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-12.htrms.PG.Quantity,[13] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-13.htrms.PG.Quantity,[14] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-14.htrms.PG.Quantity,[15] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-15.htrms.PG.Quantity,[16] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-16.htrms.PG.Quantity,[17] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-17.htrms.PG.Quantity,[18] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-18.htrms.PG.Quantity,[19] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19.htrms.PG.Quantity,[20] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19b.htrms.PG.Quantity,[21] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-20.htrms.PG.Quantity,[22] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-21.htrms.PG.Quantity,[23] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-22.htrms.PG.Quantity,[24] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-23.htrms.PG.Quantity,[25] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-24.htrms.PG.Quantity,[26] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-25.htrms.PG.Quantity,[27] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-26.htrms.PG.Quantity,[28] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-27.htrms.PG.Quantity,[29] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-28.htrms.PG.Quantity,[30] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29.htrms.PG.Quantity,[31] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29b.htrms.PG.Quantity,[32] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-30.htrms.PG.Quantity,[33] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-31.htrms.PG.Quantity,[34] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-32.htrms.PG.Quantity,[35] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-33.htrms.PG.Quantity,[36] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-34.htrms.PG.Quantity,[37] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-35.htrms.PG.Quantity,[38] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-36.htrms.PG.Quantity,[39] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-37.htrms.PG.Quantity,[40] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-38.htrms.PG.Quantity,[41] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-39.htrms.PG.Quantity,[42] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-40.htrms.PG.Quantity
A0A075B6K5;P80748,IGLV3-9;IGLV3-21,LV39_HUMAN;LV321_HUMAN,,,12540.0625,,,,,,8540.763671875,10458.6416015625,,,,,,,,,,,,,,,24174.076171875,,,,15619.4267578125,,18040.857421875,,,,,,,,,,,
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310,IGKV2-28;IGKV2D-29;IGKV2D-30;IGKV2-40;IGKV2D-26;IGKV2-29;IGKV2D-40;IGKV2D-28;IGKV2-30,KV228_HUMAN;KVD29_HUMAN;KVD30_HUMAN;KV240_HUMAN;KVD26_HUMAN;KV229_HUMAN;KVD40_HUMAN;KVD28_HUMAN;KV230_HUMAN,30648.44140625,14865.02734375,43019.5546875,27989.10546875,66420.234375,56719.0703125,,,111579.7421875,,39653.69140625,53617.05078125,22940.380859375,,26678.080078125,9116.3935546875,30685.517578125,19698.98828125,,18869.48046875,,19119.119140625,20188.20703125,32919.01171875,57988.00390625,76118.8203125,31073.544921875,27584.3046875,,,,22996.087890625,,33421.4375,34740.0,,,,14485.998046875,,13245.75390625,88243.0859375
A0A0C4DH38,IGHV5-51,HV551_HUMAN,,,12745.4765625,,,,,,,10512.6689453125,15233.806640625,,,,,,8514.5439453125,,,,,,,11247.90234375,,,,,,,,,,66667.5,,,,,,,,
A1L4H1,SSC5D,SRCRL_HUMAN,63943.71875,25345.1640625,45265.4453125,18056.841796875,19690.126953125,15537.478515625,41966.34765625,43969.18359375,34409.86328125,8624.97265625,40658.03515625,37781.62109375,40812.7109375,49503.4296875,54044.74609375,34989.88671875,37659.65625,30796.373046875,60767.14453125,50611.93359375,41068.8515625,36056.1015625,38499.9921875,48838.8046875,28622.724609375,49594.875,37572.73046875,24384.18359375,60083.53125,43425.98828125,29014.3359375,25972.23046875,59490.765625,40110.79296875,31411.052734375,14798.29296875,29337.6953125,50007.30859375,15990.16796875,31505.77734375,60589.53515625,30350.5859375
A8K2U0,A2ML1,A2ML1_HUMAN,,,39977.21875,,,84932.2734375,,,,63518.4453125,,25763.859375,,,,,45603.6875,,9467.9619140625,8571.90234375,36423.63671875,,24215.162109375,,51904.64453125,,15641.20703125,22919.650390625,,,,21093.84765625,,,,,30161.30078125,,,,,
B9A064;P0CG04,IGLL5;IGLC1,IGLL5_HUMAN;IGLC1_HUMAN,199725.5,119224.2109375,226247.4375,,130469.5625,147418.78125,197514.921875,67945.5703125,207090.234375,199334.609375,98625.328125,239809.53125,195110.875,193068.390625,,250094.21875,135298.25,94479.2578125,159477.203125,140294.28125,,,,,197494.953125,151574.25,,104870.453125,162925.90625,124351.65625,124372.5,212077.71875,214191.359375,136556.828125,117381.03125,146426.515625,108393.484375,185186.53125,112790.25,206381.078125,69630.140625,155691.375
O00187,MASP2,MASP2_HUMAN,1471739.375,1063708.75,1155664.5,1713380.125,1089078.0,1010523.0,1367551.625,820233.6875,886500.6875,647290.25,1575350.375,845144.875,858642.4375,1217423.875,869971.5,947543.625,389429.9375,829173.5,1232039.625,1261708.75,792135.0,783084.25,643246.125,1393541.0,803965.3125,1209184.5,725803.625,756081.875,1098894.75,340696.5625,862633.6875,600742.875,1137382.25,1247266.875,1069615.0,1689335.0,462191.03125,1164883.5,827699.3125,1005606.375,886187.375,911277.4375
O00391,QSOX1,QSOX1_HUMAN,1845656.5,1634284.5,1200433.5,1244406.125,1071518.625,818261.75,1162330.625,1025237.0625,980580.8125,580821.625,1032623.875,1028807.75,941368.875,1308723.5,757593.25,804551.5,833346.1875,1072668.0,1555343.0,1108672.5,569140.5,746259.1875,664371.0625,880074.3125,914276.125,808926.125,653793.8125,669221.875,1137876.875,1196956.5,977183.5625,930177.25,1392539.75,845866.875,1495696.5,1084714.0,758007.75,992410.25,1146595.75,1450075.5,1242397.0,1254898.125
O00533,CHL1,NCHL1_HUMAN,574049.125,756532.4375,313834.375,351873.6875,490108.4375,258640.6875,451475.0,479558.09375,446811.34375,260405.875,186037.453125,608972.5625,589178.8125,424216.8125,309178.625,287727.21875,360960.125,357458.0625,433804.65625,439716.625,384657.09375,332393.8125,274940.25,530577.875,403498.0,345136.1875,249878.03125,325480.40625,316999.5,731928.375,618766.5625,428400.375,458924.6875,277051.59375,376875.6875,446896.78125,169718.3125,318090.25,289335.96875,575461.5625,355306.84375,400473.875
O00592,PODXL,PODXL_HUMAN,180737.171875,123142.109375,88466.265625,115659.65625,108252.7890625,60448.9765625,147693.5625,77223.5625,59622.33203125,38400.015625,62351.296875,59762.6953125,66200.8203125,76366.6015625,62019.34375,36273.46875,51423.2421875,74858.328125,90749.390625,86733.546875,61765.484375,63183.30859375,37684.07421875,58194.80859375,59763.94140625,60401.73046875,65389.890625,62439.5078125,54040.07421875,107134.921875,66425.140625,39161.4453125,43878.35546875,75160.6484375,59398.578125,93910.609375,42546.5546875,78657.765625,43358.66015625,82109.03125,54297.0546875,37971.0234375
O14498,ISLR,ISLR_HUMAN,120991.859375,58479.41796875,54543.984375,103203.2890625,109674.015625,41027.21484375,96720.46875,53612.6484375,113057.2265625,48455.29296875,76671.46875,68759.8671875,131685.84375,83526.6953125,86587.9375,81594.078125,68470.046875,55577.2734375,51028.19140625,70639.921875,32773.63671875,110738.0859375,45557.8515625,124959.4453125,34532.19140625,46843.6328125,41578.23828125,45964.94921875,84700.0078125,30990.24609375,51113.79296875,77140.3515625,33091.6328125,56205.3125,74574.578125,73247.7578125,46015.703125,93769.0078125,69681.3203125,79920.203125,96085.3359375,28913.375
O14633;Q5TA81,LCE2B;LCE2C,LCE2B_HUMAN;LCE2C_HUMAN,,8493.7890625,84762.21875,,17981.15234375,141723.703125,,20939.583984375,2222.30004882813,197768.1875,,39890.7890625,42176.51953125,23047.501953125,7151.1484375,55793.203125,40206.48046875,45352.5859375,16286.056640625,3622.76245117188,39746.625,63853.55078125,90256.7578125,28669.505859375,116798.03125,3201.40747070313,65623.7109375,71206.4921875,16739.7265625,3374.95532226563,4896.30078125,79856.9921875,31208.755859375,,645.739379882813,,66567.59375,7713.80908203125,6759.6962890625,,10043.0302734375,3452.884765625
O14746,TERT,TERT_HUMAN,3798112.0,1880045.25,1850797.875,1388878.875,2793802.5,2541087.0,3130276.25,3273000.25,4458602.5,2407561.25,1699352.0,2564373.25,3071243.5,3050435.0,1815478.125,1287084.0,1035869.9375,1372359.125,2702784.25,4291566.5,3256029.25,1458650.0,361041.28125,1157034.25,1670466.0,3052300.5,1241005.25,1561474.125,2644728.25,3332551.25,3575479.5,959638.25,1384436.0,2293784.5,1341400.875,2959343.5,2528926.75,2032377.5,1852642.5,1465774.5,788091.625,1982422.75
O14773,TPP1,TPP1_HUMAN,,,42987.6484375,,,77281.296875,,,,77485.6953125,,,,,,15172.1728515625,18403.724609375,,9453.9521484375,,21971.3046875,,34534.8125,,42166.1328125,,11167.982421875,19915.76171875,,,,32655.19921875,11349.798828125,,,,21447.404296875,,,,,7839.7099609375
O14786,NRP1,NRP1_HUMAN,192697.09375,159171.03125,140521.875,90197.28125,101654.2109375,70607.4140625,128459.4296875,174395.0625,136551.390625,72473.28125,153529.28125,113116.484375,127848.5546875,95073.890625,66777.8671875,68664.4296875,136291.328125,89921.7265625,121636.9375,129709.6953125,41357.9296875,107016.7734375,61833.6640625,94403.2265625,133660.609375,118404.796875,72139.9609375,93391.65625,145152.53125,117547.8984375,126888.546875,92684.4140625,134320.34375,200132.796875,189799.125,97328.171875,78204.46875,161895.859375,142285.984375,148664.78125,125094.4921875,127902.75
O14791,APOL1,APOL1_HUMAN,204102.96875,145441.265625,133319.6875,234327.390625,169728.734375,129407.6640625,138521.65625,69440.5546875,106819.03125,73584.140625,107430.125,110574.65625,90314.1875,160181.71875,101382.625,177940.0625,109096.1015625,149293.0,131979.359375,121747.75,92112.53125,86557.9609375,54883.51953125,92988.3984375,80144.015625,162291.265625,111416.21875,57066.32421875,120328.6484375,157282.71875,164220.484375,66052.5703125,86689.5859375,119859.3671875,168235.03125,109788.4375,137774.515625,131359.21875,83094.25,100743.40625,106909.1328125,48302.921875
O14818,PSMA7,PSA7_HUMAN,44188.3828125,39650.83203125,83356.4296875,,69974.890625,68943.328125,,59579.66015625,34881.19921875,111163.5625,54383.47265625,56156.79296875,40795.52734375,,51174.50390625,32474.0625,62538.14453125,36219.77734375,,9100.8125,6837.10693359375,38437.609375,42098.30859375,,45561.48828125,26462.501953125,43892.73828125,70506.5390625,32731.392578125,,,60688.75390625,40193.2890625,42881.140625,39314.47265625,8114.5703125,30236.408203125,41721.22265625,35031.2734375,,35889.33984375,28071.208984375
O14960,LECT2,LECT2_HUMAN,60646.26953125,51559.1328125,52031.69921875,34777.17578125,57781.078125,,22278.947265625,34754.91796875,,,56404.1015625,17656.5390625,39605.859375,49462.18359375,30106.5,49708.859375,41885.515625,52729.6015625,,48482.99609375,39283.24609375,48271.94140625,27546.19140625,50249.234375,,28954.75390625,34243.85546875,37635.74609375,74020.5625,,11178.1826171875,18389.26171875,,,91092.0390625,48194.8203125,17353.53515625,,,,17346.208984375,
O15031,PLXNB2,PLXB2_HUMAN,,,10194.0146484375,4357.7822265625,15293.9990234375,,,,25106.380859375,,117923.2890625,46685.4453125,22776.2578125,31563.31640625,8765.466796875,44625.51953125,14853.693359375,19051.271484375,,,,18288.41796875,13931.283203125,35993.0234375,,11188.6171875,7989.87158203125,13049.63671875,21108.150390625,,,38205.66796875,30314.6953125,10878.5693359375,34170.09765625,,,,,,,
O15394,NCAM2,NCAM2_HUMAN,52622.58203125,32929.41796875,33417.51171875,34849.1015625,45388.1796875,37132.984375,66066.15625,63090.3828125,33894.16015625,38493.484375,18993.3046875,37708.34765625,50390.8359375,25258.498046875,21261.796875,3860.09594726563,22246.751953125,41444.91015625,30464.396484375,23470.982421875,21599.333984375,34856.1015625,11951.9404296875,40524.43359375,28177.09765625,32247.50390625,23572.9921875,25581.017578125,32296.0234375,63499.1796875,27408.814453125,29094.529296875,47971.5,38729.07421875,20014.35546875,43933.03125,31447.818359375,31620.375,28684.884765625,38346.96875,13858.056640625,30137.2109375
O43157,PLXNB1,PLXB1_HUMAN,14064.3681640625,6171.21875,11791.3642578125,10470.974609375,13137.2890625,,16356.712890625,2669.62451171875,14680.8046875,,15051.3359375,4813.97265625,99541.375,,10629.791015625,5034.74462890625,13316.1181640625,10826.677734375,18220.595703125,10336.17578125,,9642.177734375,7015.93115234375,15237.0419921875,4306.37548828125,12170.251953125,9725.728515625,13814.9609375,15836.296875,,17155.982421875,8921.947265625,45779.84765625,15668.9677734375,16290.716796875,24422.212890625,5970.22216796875,16096.03515625,16774.423828125,,7216.56494140625,
O43493,TGOLN2,TGON2_HUMAN,21162.75390625,13487.810546875,13266.3974609375,6682.4375,28686.890625,12750.9892578125,23910.1015625,19134.025390625,24655.138671875,17240.994140625,11429.55078125,7343.20556640625,8580.9638671875,,11269.9462890625,4301.9892578125,3037.19213867188,6590.2412109375,6556.12109375,4151.2734375,7113.79052734375,3417.83813476563,5544.6376953125,,8444.4462890625,11467.044921875,4166.79052734375,15770.21484375,10399.0458984375,4854.287109375,9381.1767578125,16559.30078125,11713.44921875,3560.673828125,10399.9248046875,4857.11474609375,13038.2568359375,12404.1279296875,10351.2373046875,9283.271484375,11646.5927734375,17239.14453125
O43505,B4GAT1,B4GA1_HUMAN,81346.0078125,72200.03125,54653.34375,66002.90625,97770.375,52071.9375,106706.734375,79525.7734375,93853.7421875,65757.671875,39772.34375,42135.671875,71815.1015625,70735.3359375,40173.55078125,56194.2109375,49479.97265625,51703.640625,84426.0703125,77710.3984375,63461.4453125,64199.453125,30451.37109375,58057.1640625,62826.6640625,74055.578125,52140.44140625,69731.125,63485.5390625,54610.234375,61471.49609375,66356.4375,54560.15234375,36089.66015625,35907.9375,77153.3671875,63578.58984375,59233.51953125,33264.85546875,58017.33984375,35087.8828125,68725.6875
O43790,KRT86,KRT86_HUMAN,91781.203125,1053109.625,444111.65625,772791.875,939189.25,719671.3125,640229.6875,1513928.25,2924489.25,6787511.0,990213.875,1535230.25,370275.1875,532126.0,226701.640625,179565.78125,152634.53125,149574.875,1313811.0,1838188.875,2408789.0,335936.59375,347499.9375,141482.078125,3169010.25,235673.484375,231284.78125,426207.375,159225.40625,475535.46875,1242081.625,362605.6875,1568119.625,1010445.0,883742.875,530824.5,367386.25,146117.546875,711169.3125,57000.43359375,103817.7109375,1602911.25
O43866,CD5L,CD5L_HUMAN,1124471.375,1338700.5,1813926.5,857411.5,1372360.375,1078990.75,1302572.375,707863.5625,1973822.375,548596.5,5500810.0,983468.5,1361145.125,1317909.25,1040651.0625,710078.0,1686084.125,3191518.5,2820182.0,2897629.75,792636.125,1331063.875,688647.0,945424.125,618242.1875,1774301.875,1165798.375,2833433.75,2744085.0,988660.6875,793079.75,1976905.875,679252.125,2154942.0,2936288.75,1252875.5,1025355.375,1129696.25,1756531.5,782275.625,908703.625,1343593.25
O60462,NRP2,NRP2_HUMAN,17466.8984375,26648.69140625,10986.5185546875,9755.63671875,44582.234375,12345.69921875,15494.7197265625,19945.3046875,18511.71484375,11231.71484375,21028.203125,19308.5,45390.390625,14719.8740234375,32708.974609375,19870.984375,19464.287109375,25366.1015625,11275.9443359375,15069.9580078125,7123.4306640625,16624.060546875,14479.89453125,14432.44921875,17941.0546875,21990.310546875,19181.10546875,32096.93359375,32199.375,14641.6337890625,9175.4091796875,17286.421875,15289.5537109375,29850.2578125,20579.484375,14927.8046875,16365.4912109375,30127.60546875,36092.7578125,21027.041015625,23239.0,11394.4765625
O75015,FCGR3B,FCG3B_HUMAN,75402.5390625,97151.0,43333.1484375,81189.28125,68299.8515625,52676.36328125,96999.0234375,97681.0703125,212739.375,68318.796875,97980.5546875,,66829.6875,61671.1953125,51920.69921875,80406.109375,31726.177734375,156626.859375,138806.40625,104111.140625,52484.359375,71675.0625,41190.859375,63188.91015625,55325.8515625,9708.1083984375,68839.2265625,37755.921875,49350.55078125,62746.64453125,47481.15625,70471.4609375,45282.6640625,94864.5,52376.05078125,,46701.4453125,81311.2265625,130264.3125,57344.99609375,63414.96875,27139.63671875
O75144,ICOSLG,ICOSL_HUMAN,441746.40625,347980.8125,250600.78125,307287.75,299589.625,178438.3125,270836.75,195369.859375,487878.4375,198070.796875,222133.90625,116429.359375,171115.84375,253765.703125,145141.671875,246069.09375,150048.03125,232142.3125,204526.234375,435118.15625,243740.484375,121646.8125,179128.375,206265.03125,184891.90625,157578.59375,213243.984375,184047.4375,202336.25,472798.03125,387013.53125,109300.078125,200798.8125,140985.75,252131.734375,462925.25,133339.359375,137360.09375,140876.546875,190579.875,175728.875,258704.0
O75223,GGCT,GGCT_HUMAN,,36524.93359375,157778.0,,24107.162109375,303574.4375,,77818.03125,30284.140625,314698.59375,16121.302734375,48466.85546875,52972.8828125,44386.40234375,23344.947265625,93646.1875,161919.28125,64865.94921875,35944.8125,37525.2734375,111943.75,128503.7578125,139322.109375,55294.58203125,182225.34375,44894.96875,70513.3671875,93798.3203125,28902.40234375,14301.3857421875,26507.76171875,194582.953125,67018.0546875,18017.76953125,,13732.89453125,123652.8046875,11970.29296875,,7662.2685546875,17607.865234375,112788.359375
O75629,CREG1,CREG1_HUMAN,,,,,,,,,,,,,,,,,16305.060546875,,,,,,,,,,,,,,,,,,,,,,,,,
O75635,SERPINB7,SPB7_HUMAN,,,28077.6015625,,,46179.55859375,,,,46504.45703125,,11908.7099609375,11283.85546875,9081.857421875,,11922.537109375,12667.1923828125,12170.3798828125,7826.75048828125,,17839.4609375,15328.23828125,25184.24609375,7016.09814453125,30279.015625,,14713.015625,13484.177734375,,11292.25,,18007.34765625,11880.7939453125,,,,17733.33984375,3612.23266601563,,,,12547.408203125
O75636,FCN3,FCN3_HUMAN,17213092.0,7527155.5,10748296.0,9796119.0,9523532.0,6966387.0,11792705.0,6223976.5,7951351.5,5681919.5,11977614.0,5744295.0,2667624.5,8677839.0,5803997.0,7492865.0,5105261.0,8280994.5,7869925.0,7779987.5,5518208.5,5198809.5,4974762.5,5794624.0,6286689.5,7902005.5,5449653.0,4074431.5,7120085.5,8128609.0,7125427.5,5025285.0,7055230.5,8300875.5,9362096.0,8785779.0,3937437.5,9901476.0,6051821.5,8630187.0,7141918.0,5798869.5
O75828;P16152,CBR3;CBR1,CBR3_HUMAN;CBR1_HUMAN,,9450.8046875,3704.72045898438,,,,,,,9950.4775390625,,8661.6142578125,,,,,,,,,,,5936.490234375,,62970.75390625,,,,,,,,,,,,,,,,,29268.1484375
O75874,IDH1,IDHC_HUMAN,23338.64453125,24704.12109375,24326.54296875,,14127.900390625,37714.5390625,9555.5361328125,20662.140625,22973.4375,35774.69921875,8323.38671875,15461.740234375,5491.45166015625,11575.67578125,9748.947265625,14123.642578125,14332.34765625,,7170.06787109375,,19032.65625,,21108.03125,,24912.5390625,9164.517578125,,14192.134765625,,16358.4228515625,6519.4228515625,24272.8515625,10869.75,,9639.7744140625,,15074.060546875,,,,,6633.310546875
O75882,ATRN,ATRN_HUMAN,6873572.5,5372693.0,4942346.0,5908935.5,4861380.5,4043679.5,4567097.5,4777705.0,5384516.5,2342693.5,3860122.75,3075572.75,3788791.25,5379442.0,4454985.0,3614074.25,3497333.0,4553331.5,4005131.5,3994721.5,4074155.25,3338701.0,3754994.5,4159563.5,3152213.5,3788143.25,4152457.25,3611238.5,4912692.0,4087017.75,4260998.5,2703341.0,4111314.75,4038125.75,5816029.5,4135248.75,2544473.25,4406206.5,3878694.0,4891166.0,3747427.0,2920715.0
O76011,KRT34,KRT34_HUMAN,,,64094.546875,,,96810.875,,5742.97412109375,,89318.234375,,,105558.640625,112625.78125,53849.984375,,9002.0859375,12957.486328125,,,36981.47265625,,40121.21875,,5438.35009765625,45710.0703125,41345.3203125,82397.4921875,,,,73748.0546875,5652.50634765625,,,,76848.2109375,,,6195.6494140625,,14932.1015625
O76013,KRT36,KRT36_HUMAN,,,82922.890625,,10844.6484375,28081.52734375,14043.1171875,20994.5546875,,76547.2890625,,,23768.041015625,24235.296875,12515.4736328125,,24303.830078125,18417.373046875,,,53691.49609375,,48154.0078125,,16714.37109375,20086.759765625,12591.8212890625,42505.546875,35316.94140625,,,28154.689453125,6304.11083984375,21818.033203125,,,28355.826171875,,10713.7470703125,,14308.45703125,7702.119140625
O94985,CLSTN1,CSTN1_HUMAN,58885.609375,140375.15625,46298.4453125,120796.1796875,90506.0859375,,37381.3984375,72842.2734375,66172.671875,17400.904296875,85780.8046875,67164.421875,84136.7265625,40846.40625,,56239.4765625,47564.35546875,48195.65625,30518.615234375,27840.916015625,25236.46484375,50752.40234375,37096.453125,50913.23046875,47452.6484375,42622.2734375,72323.203125,33018.359375,71623.7890625,67041.2890625,40920.18359375,35905.58203125,24436.7578125,55953.5625,51293.2265625,14139.9833984375,30188.89453125,,47795.03515625,22197.955078125,93698.734375,68494.109375
O95274,LYPD3,LYPD3_HUMAN,10489.3349609375,3096.41040039063,13957.599609375,,8310.5458984375,16625.173828125,6140.42333984375,10456.9873046875,14369.8369140625,11226.591796875,,11019.21484375,,,,4420.890625,,5581.08056640625,,8265.5634765625,7180.044921875,,,,49196.7578125,,,3693.99951171875,,,4917.310546875,,9688.576171875,,,,6440.05908203125,1426.17199707031,,,,32529.33203125
O95428,PAPLN,PPN_HUMAN,,,,15312.173828125,,,13539.2607421875,10575.880859375,,,7255.5712890625,,,,7432.09619140625,,6745.5771484375,12859.23046875,,,,7735.54150390625,,13651.283203125,8990.255859375,,7337.8564453125,8439.5849609375,,,,13199.0751953125,,,12374.1435546875,11648.2587890625,,,,,,
O95445,APOM,APOM_HUMAN,890203.5625,950560.1875,890340.0,1018369.6875,637749.0,353971.5,424492.78125,419450.6875,799175.0,250328.671875,405265.5,351572.46875,302024.34375,225971.34375,589342.4375,372788.40625,766974.25,609716.3125,331759.625,663566.5625,615427.125,601659.3125,317793.875,459553.25,309749.375,463217.40625,341794.9375,719131.5625,380564.28125,795326.0625,639091.4375,314583.6875,441264.03125,595696.25,629388.0625,550045.125,269542.9375,477745.34375,566581.4375,898926.875,709756.4375,698144.8125
O95479,H6PD,G6PE_HUMAN,91396.84375,81238.046875,90750.5859375,63680.390625,74449.921875,66691.6484375,94608.5703125,39580.73046875,120754.359375,40057.5546875,70773.8515625,86410.96875,63082.0546875,95694.46875,37163.1015625,35681.515625,79191.8828125,64669.3203125,107984.84375,93739.5703125,55478.7890625,69728.2734375,32585.04296875,40708.4921875,78319.3125,66803.234375,38601.15625,65303.0703125,52370.79296875,41550.0703125,38750.81640625,40564.546875,70393.203125,130117.5625,56939.33203125,79164.2578125,51215.94921875,69885.984375,67493.09375,53848.2578125,36807.765625,82107.96875
O95497,VNN1,VNN1_HUMAN,384670.03125,103496.7890625,753997.75,692029.75,288903.3125,458394.125,475406.875,230684.84375,299400.75,40418.0859375,479677.9375,174307.03125,380940.75,379519.0625,122832.796875,234310.125,339082.4375,399890.09375,175659.25,175717.9375,461312.5625,261009.234375,93588.953125,32262.26171875,154524.3125,366324.15625,136856.625,85527.5,413906.71875,297073.65625,267489.21875,188981.828125,260919.71875,216462.53125,387016.4375,145007.546875,183881.171875,356464.96875,261109.671875,460548.53125,177694.34375,116323.4921875
O95678,KRT75,K2C75_HUMAN,63883.12109375,97124.1875,491091.46875,,120849.6953125,1103103.625,110618.59375,436402.46875,120744.0078125,797828.625,,134703.234375,205792.3125,185388.03125,141655.96875,907316.4375,357622.65625,392331.09375,176677.3125,221500.515625,325309.09375,179839.25,549326.3125,48343.0703125,580991.75,102821.234375,749481.6875,389506.90625,84047.5390625,133543.578125,279060.84375,520271.65625,154057.125,66800.6796875,124456.3984375,68057.3671875,306924.25,138770.9375,210323.21875,63831.10546875,92710.1015625,669827.3125
O95718;P62508,ESRRB;ESRRG,ERR2_HUMAN;ERR3_HUMAN,,,27004.26171875,,34125.859375,,,,,,36504.3671875,,,,,,39248.27734375,,,,,,,24938.91015625,,,12064.75390625,25883.8515625,,,,16533.62890625,,51009.40234375,,,,,28575.791015625,22621.599609375,30435.12890625,
O95835,LATS1,LATS1_HUMAN,8663751.0,8630218.0,18092756.0,835754.3125,8172936.0,6786586.0,10690624.0,10080663.0,2280629.75,9146160.0,2267780.0,1307646.0,3162822.75,5722168.0,5750154.0,836917.6875,1209725.125,5098128.5,2924867.25,3292645.5,575366.5625,,1357299.125,2052359.25,3222127.5,9484567.0,1763251.625,1229908.125,9896909.0,56610.08203125,4689870.5,9006046.0,5656678.0,1604869.0,5637136.0,5682971.0,6315724.5,6946251.0,4698575.5,8253750.5,2995584.0,5157736.0
O95998,IL18BP,I18BP_HUMAN,89041.6953125,66104.1328125,64790.625,39402.75,81200.828125,45779.62890625,57284.296875,41649.52734375,62086.66015625,42053.109375,62093.984375,63467.41015625,86135.609375,110892.9609375,54378.92578125,37307.921875,56133.97265625,73629.9765625,113903.7734375,109275.9296875,,52941.921875,48127.890625,65700.953125,65166.9609375,83396.421875,36650.11328125,77788.8828125,117525.09375,51568.01171875,,59158.83984375,66050.484375,,75295.0703125,54064.8515625,66579.8515625,54415.6640625,62908.83203125,35561.8046875,63873.3984375,41836.71875
P00338,LDHA,LDHA_HUMAN,184686.65625,117252.265625,120410.0234375,54344.2734375,123574.484375,204666.984375,51160.859375,118001.09375,130969.015625,224331.84375,34638.9765625,117201.265625,103616.6484375,,38189.87109375,59890.828125,154120.96875,58670.66796875,,30596.765625,80883.9375,136537.171875,102567.296875,63447.9921875,454799.0625,54727.5,61739.19140625,64464.0625,,23060.025390625,36456.72265625,131252.328125,67323.71875,52887.26953125,24309.005859375,39589.359375,88528.125,45448.09765625,44659.0390625,,,420782.84375
