PG.ProteinAccessions,PG.Genes,PG.ProteinNames,[1] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-1.htrms.PG.Quantity,[2] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-2.htrms.PG.Quantity,[3] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-3.htrms.PG.Quantity,[4] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-4.htrms.PG.Quantity,[5] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-5.htrms.PG.Quantity,[6] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-6.htrms.PG.Quantity,[7] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-7.htrms.PG.Quantity,[8] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-8.htrms.PG.Quantity,[9] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-9.htrms.PG.Quantity,[10] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-10.htrms.PG.Quantity,[11] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-11.htrms.PG.Quantity,[12] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-12.htrms.PG.Quantity,[13] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-13.htrms.PG.Quantity,[14] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-14.htrms.PG.Quantity,[15] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-15.htrms.PG.Quantity,[16] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-16.htrms.PG.Quantity,[17] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-17.htrms.PG.Quantity,[18] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-18.htrms.PG.Quantity,[19] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19.htrms.PG.Quantity,[20] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19b.htrms.PG.Quantity,[21] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-20.htrms.PG.Quantity,[22] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-21.htrms.PG.Quantity,[23] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-22.htrms.PG.Quantity,[24] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-23.htrms.PG.Quantity,[25] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-24.htrms.PG.Quantity,[26] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-25.htrms.PG.Quantity,[27] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-26.htrms.PG.Quantity,[28] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-27.htrms.PG.Quantity,[29] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-28.htrms.PG.Quantity,[30] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29.htrms.PG.Quantity,[31] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29b.htrms.PG.Quantity,[32] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-30.htrms.PG.Quantity,[33] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-31.htrms.PG.Quantity,[34] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-32.htrms.PG.Quantity,[35] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-33.htrms.PG.Quantity,[36] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-34.htrms.PG.Quantity,[37] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-35.htrms.PG.Quantity,[38] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-36.htrms.PG.Quantity,[39] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-37.htrms.PG.Quantity,[40] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-38.htrms.PG.Quantity,[41] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-39.htrms.PG.Quantity,[42] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-40.htrms.PG.Quantity
P27482,CALML3,CALL3_HUMAN,,,50593.8515625,,21535.71484375,111497.9375,,,,67944.734375,,14161.4521484375,,,,,222379.640625,20800.240234375,,,83289.59375,,82438.390625,25755.732421875,146843.578125,,21046.265625,38389.78515625,,,,60369.265625,,,,,55937.6796875,,,,,132920.015625
P27487,DPP4,DPP4_HUMAN,350235.03125,319713.25,194780.671875,271120.28125,265031.40625,173679.421875,298680.28125,183322.8125,215338.875,124823.0,126314.5703125,196599.6875,212481.453125,137103.1875,143454.765625,148998.53125,149837.90625,185321.125,164706.515625,160817.390625,175984.53125,185986.6875,125921.5859375,248459.90625,127390.8359375,142974.0625,129013.9296875,187802.46875,108937.2265625,180492.28125,222656.578125,167682.8125,174631.15625,105549.1484375,181268.6875,205218.171875,84959.0,134044.75,138632.53125,154558.78125,140574.53125,74584.0390625
P27797,CALR,CALR_HUMAN,34004.546875,41675.50390625,12288.3876953125,31219.662109375,,51972.58203125,15579.193359375,18101.75,10028.4619140625,17913.9140625,19401.1171875,22614.236328125,16963.828125,9338.2001953125,14911.2119140625,19886.517578125,24058.453125,21903.908203125,9209.57421875,18347.984375,19751.556640625,16245.666015625,10030.845703125,15891.4521484375,52500.76953125,37900.21484375,20421.83203125,18246.97265625,36381.28125,24844.3984375,6167.5244140625,17089.69140625,32381.4609375,41891.359375,19742.33203125,25929.90625,11892.11328125,55702.08203125,26306.623046875,18345.30859375,18096.37890625,23444.2578125
P27918,CFP,PROP_HUMAN,7765528.0,4900248.0,4514651.5,3849890.0,4681087.0,3655243.5,5067152.5,4352694.0,6174713.0,3108378.25,5855641.0,4460164.5,4269882.5,5357389.0,5473563.0,4445798.0,3203197.0,5076284.5,4537887.5,4863592.0,4068997.0,3481750.75,4125357.25,4656581.0,3771772.0,4769987.0,4865235.5,4716957.5,5314643.0,4856263.5,4677059.0,3539285.25,3380236.5,4136894.0,4336500.5,4577529.0,2538608.75,4042773.5,3737855.0,3970967.25,3110340.0,3262787.0
P27930,IL1R2,IL1R2_HUMAN,52105.62109375,55934.421875,14773.8310546875,48427.6328125,74372.40625,10800.4462890625,14482.1787109375,50615.6171875,66953.796875,7699.59423828125,14229.2607421875,10262.1240234375,13990.6455078125,57776.81640625,42443.921875,10893.48046875,25725.31640625,45662.17578125,12768.2138671875,51800.6015625,9119.4111328125,10896.041015625,13970.20703125,30455.005859375,11337.2666015625,44363.1953125,12194.5302734375,9181.5498046875,9942.7099609375,15384.625,15263.7109375,10711.7275390625,43092.69921875,,25896.421875,16741.0703125,10079.67578125,11698.794921875,32484.09375,13940.0,,12832.1826171875
P28066,PSMA5,PSA5_HUMAN,31198.888671875,48196.07421875,52608.59765625,,,78419.6796875,12771.37109375,27982.5,,100786.046875,68118.4375,41367.39453125,32439.453125,21320.091796875,,29435.3359375,50976.7421875,30013.958984375,21042.501953125,,32635.30859375,29264.23828125,54114.40625,37840.734375,60115.84375,19202.708984375,37183.6875,50200.58984375,,,11789.2080078125,47567.3984375,24606.783203125,29300.271484375,47697.31640625,,41009.78125,27979.009765625,24202.275390625,,19999.6640625,29724.01953125
P28072,PSMB6,PSB6_HUMAN,49815.53515625,42577.8125,111540.5625,,34061.33203125,178118.296875,,41040.60546875,49301.1171875,129979.1015625,10175.6982421875,55467.0546875,59880.7578125,57909.68359375,45331.72265625,64018.7265625,100803.4140625,64285.33984375,55855.76171875,,79241.1875,65994.171875,111367.546875,11444.2236328125,97876.9921875,55147.375,69216.828125,76115.390625,30532.19921875,,,94969.109375,38278.859375,10342.400390625,49948.5234375,,68843.15625,25715.6484375,20314.1640625,,16566.359375,113224.90625
P28074,PSMB5,PSB5_HUMAN,,,23189.90625,,,51105.5703125,,6030.9521484375,,58016.41015625,,8012.369140625,10550.8037109375,,,14843.400390625,20178.470703125,7218.09765625,,,24962.6640625,10112.6103515625,16047.78515625,,19331.46875,,9468.8681640625,8542.3564453125,,,,27997.060546875,3544.4677734375,,,,15687.1064453125,,,,,5272.21875
P28799,GRN,GRN_HUMAN,3418.48876953125,922.178588867188,13004.935546875,3006.83471679688,,48693.85546875,3674.27465820313,8350.6796875,3341.94482421875,41668.75,4030.01831054688,16581.654296875,2467.17749023438,5721.29052734375,2341.22680664063,9128.61328125,12033.2783203125,2144.0263671875,917.3056640625,3061.11865234375,8467.37890625,12450.5,20663.005859375,4764.1982421875,21235.72265625,,8307.537109375,9147.1845703125,4018.27734375,5946.6533203125,2399.86206054688,13718.7041015625,11027.947265625,7939.83154296875,5406.193359375,1231.09741210938,10777.8056640625,,5382.39111328125,5881.2685546875,7267.90966796875,9705.4833984375
P28827,PTPRM,PTPRM_HUMAN,77659.296875,68463.2421875,53686.09765625,111506.59375,107513.953125,49397.4140625,37925.18359375,68031.4921875,37338.3515625,50886.64453125,86538.640625,53163.4453125,102912.4453125,55951.05859375,69549.6484375,34782.02734375,47720.2578125,91577.1640625,72348.640625,86999.1015625,28497.51171875,52329.05859375,85500.1015625,73921.0078125,37952.6953125,35517.51953125,84103.375,57930.66015625,64032.76953125,15476.5068359375,107225.59375,54880.703125,42511.4296875,52201.640625,116664.109375,85397.4609375,42187.1875,67555.96875,52978.37890625,62621.703125,92070.171875,29889.544921875
