sample_id,myeloid_fraction,fibroblast_fraction,T_cell_fraction
CAG1,0.0053667262969588556,0.01712241247124968,0.053411704574495275
CAG2,0.013582342954159592,0.027892311423720593,0.06124181421295173
CAG3,0.019862180786380218,0.050803945412782055,0.0971490339143359
EGC1,0.00549249359209081,0.0007323324789454412,0.040278286341999266
GSM7966226,0.01845018450184502,0.11013340902639795,0.2466647743400511
GSM7966227,0.019328226281673543,0.06635238656452563,0.5611078373600471
GSM7966228,0.005827667545441932,0.03760233106701818,0.16969612876370196
GSM7966229,0.007330551483026955,0.017367768129017705,0.3478064734408481
GSM7966230,0.012421407759546083,0.07330164085262997,0.39963195828860604
GSM7966231,0.009503695881731786,0.14481822295972244,0.2273344395836476
GSM7966232,0.011223344556677891,0.015572390572390573,0.3702300785634119
GSM7966233,0.07350641226149515,0.00985298717547701,0.4322802627463247
GSM7966234,0.05705312745354619,0.02617115938236064,0.46584663700601936
GSM7966235,0.0077111812127585,0.0318962495618647,0.4833508587451805
GSM7966236,0.03200636942675159,0.008439490445859872,0.4199044585987261
GSM7966237,0.038170563961485555,0.03077716643741403,0.3896148555708391
GSM7966238,0.16660625830614956,0.05980427691192461,0.4913616044460553
GSM7966239,0.057447810390833465,0.0309213624234814,0.23104693140794225
GSM7966240,0.5097223438731716,0.16291495138828063,0.12017167381974249
GSM7966241,0.01217671329375063,0.041863741571902986,0.582670826205092
GSM7966242,0.049992261259866895,0.010524686581024609,0.7008203064541093
GSM7966243,0.1040880503144654,0.005345911949685534,0.6094339622641509
IMS1,0.029664324746291958,0.03786104605776737,0.00858704137392662
IMS2,0.02176278563656148,0.02140007254261879,0.0018135654697134566
IMS3,0.01771255060728745,0.011639676113360324,0.07338056680161943
IMS4,0.03870771106370009,0.03047851264858275,0.04754647973178909
IMW1,0.05645981688708037,0.09511698880976602,0.1612410986775178
IMW2,0.028130671506352088,0.13929219600725953,0.12250453720508167
NAG1,0.009815024537561343,0.00037750094375235937,0.0015100037750094375
NAG2,0.022564102564102562,0.03230769230769231,0.017435897435897435
NAG3,0.017461383478844864,0.010745466756212223,0.006715916722632639
OMIX_GP4,0.027188328912466843,0.04011936339522546,0.15616710875331566
OMIX_GP5,0.04689203925845147,0.0,0.19738276990185388
OMIX_GP6,0.06398348813209495,0.002889576883384933,0.21754385964912282
OMIX_GP9,0.02698609390059204,0.00013768415255404102,0.1221258433154344
